A,NINT,AC41,ED0-2,Y16-29,F,PC,FR	32.9 
A,NINT,AC41,ED0-2,Y16-29,F,PC,HR	8.5 
A,NINT,AC41,ED0-2,Y16-29,F,PC,HU	45.8 
A,NINT,AC41,ED0-2,Y16-29,F,PC,IE	27.5 
A,NINT,AC41,ED0-2,Y16-29,F,PC,IT	25.4 
A,NINT,AC41,ED0-2,Y16-29,F,PC,LT	9.3 
A,NINT,AC41,ED0-2,Y16-29,F,PC,LU	13.5 
A,NINT,AC41,ED0-2,Y16-29,F,PC,LV	25.1 
A,NINT,AC41,ED0-2,Y16-29,F,PC,MT	21.2 
A,NINT,AC41,ED0-2,Y16-29,F,PC,PL	33.1 
A,NINT,AC41,ED0-2,Y16-29,F,PC,PT	23.9 
A,NINT,AC41,ED0-2,Y16-29,F,PC,RO	27.2 
A,NINT,AC41,ED0-2,Y16-29,F,PC,SK	26.8 
A,NINT,AC41,ED0-2,Y16-29,F,PC,UK	16.9 
A,NINT,AC41,ED0-2,Y16-29,M,PC,AT	37.1 
A,NINT,AC41,ED0-2,Y16-29,M,PC,BE	31.2 
A,NINT,AC41,ED0-2,Y16-29,M,PC,BG	35.5 
A,NINT,AC41,ED0-2,Y16-29,M,PC,CY	37.3 
A,NINT,AC41,ED0-2,Y16-29,M,PC,CZ	42.5 
A,NINT,AC41,ED0-2,Y16-29,M,PC,DE	33.3 
A,NINT,AC41,ED0-2,Y16-29,M,PC,EE	25.3 
A,NINT,AC41,ED0-2,Y16-29,M,PC,EL	64.8 
A,NINT,AC41,ED0-2,Y16-29,M,PC,ES	28.1 
A,NINT,AC41,ED0-2,Y16-29,M,PC,FR	42.5 
A,NINT,AC41,ED0-2,Y16-29,M,PC,HR	15.1 
A,NINT,AC41,ED0-2,Y16-29,M,PC,HU	45.0 
A,NINT,AC41,ED0-2,Y16-29,M,PC,IE	22.1 
A,NINT,AC41,ED0-2,Y16-29,M,PC,IT	31.1 
A,NINT,AC41,ED0-2,Y16-29,M,PC,LT	43.9 
A,NINT,AC41,ED0-2,Y16-29,M,PC,LU	17.4 
A,NINT,AC41,ED0-2,Y16-29,M,PC,LV	34.4 
A,NINT,AC41,ED0-2,Y16-29,M,PC,MT	23.3 
A,NINT,AC41,ED0-2,Y16-29,M,PC,PL	39.7 
A,NINT,AC41,ED0-2,Y16-29,M,PC,PT	33.3 
A,NINT,AC41,ED0-2,Y16-29,M,PC,RO	29.3 
A,NINT,AC41,ED0-2,Y16-29,M,PC,SK	38.5 
A,NINT,AC41,ED0-2,Y16-29,M,PC,UK	37.0 
A,NINT,AC41,ED0-2,Y16-29,T,PC,AT	34.0 
A,NINT,AC41,ED0-2,Y16-29,T,PC,BE	29.0 
A,NINT,AC41,ED0-2,Y16-29,T,PC,BG	32.6 
A,NINT,AC41,ED0-2,Y16-29,T,PC,CY	32.8 
A,NINT,AC41,ED0-2,Y16-29,T,PC,CZ	40.4 
A,NINT,AC41,ED0-2,Y16-29,T,PC,DE	30.7 
A,NINT,AC41,ED0-2,Y16-29,T,PC,EE	23.2 
A,NINT,AC41,ED0-2,Y16-29,T,PC,EL	61.3 
A,NINT,AC41,ED0-2,Y16-29,T,PC,ES	23.9 
A,NINT,AC41,ED0-2,Y16-29,T,PC,FR	37.9 
A,NINT,AC41,ED0-2,Y16-29,T,PC,HR	11.9 
A,NINT,AC41,ED0-2,Y16-29,T,PC,HU	45.4 
A,NINT,AC41,ED0-2,Y16-29,T,PC,IE	24.8 
A,NINT,AC41,ED0-2,Y16-29,T,PC,IT	28.6 
A,NINT,AC41,ED0-2,Y16-29,T,PC,LT	28.4 
A,NINT,AC41,ED0-2,Y16-29,T,PC,LU	15.7 
A,NINT,AC41,ED0-2,Y16-29,T,PC,LV	30.3 
A,NINT,AC41,ED0-2,Y16-29,T,PC,MT	22.5 
A,NINT,AC41,ED0-2,Y16-29,T,PC,PL	36.5 
A,NINT,AC41,ED0-2,Y16-29,T,PC,PT	29.2 
A,NINT,AC41,ED0-2,Y16-29,T,PC,RO	28.3 
A,NINT,AC41,ED0-2,Y16-29,T,PC,SK	32.9 
A,NINT,AC41,ED0-2,Y16-29,T,PC,UK	26.4 
A,NINT,AC41,ED0-2,Y25-34,F,PC,AT	27.7 
A,NINT,AC41,ED0-2,Y25-34,F,PC,BE	31.2 
A,NINT,AC41,ED0-2,Y25-34,F,PC,BG	28.9 
A,NINT,AC41,ED0-2,Y25-34,F,PC,CY	33.5 
