freq,isced11,age,sex,unit,geo\TIME_PERIOD	2013 	2015 
A,ED0-2,Y16-24,T,PC,MK	: u	95.5 
A,ED0-2,Y16-24,T,PC,MT	94.1 u	97.9 
A,ED0-2,Y16-24,T,PC,NL	98.1 	95.2 
A,ED0-2,Y16-24,T,PC,NO	97.2 	97.3 
A,ED0-2,Y16-24,T,PC,PL	97.2 u	97.0 u
A,ED0-2,Y16-24,T,PC,PT	96.3 u	96.3 
A,ED0-2,Y16-24,T,PC,RO	91.9 	96.7 
A,ED0-2,Y16-24,T,PC,RS	96.7 u	97.6 
A,ED0-2,Y16-24,T,PC,SE	96.8 	96.9 
A,ED0-2,Y16-24,T,PC,SI	99.2 	99.4 
A,ED0-2,Y16-24,T,PC,SK	97.3 	98.6 
A,ED0-2,Y16-24,T,PC,UK	84.0 u	94.4 u
A,ED0-2,Y16-29,F,PC,AT	98.1 	99.0 
A,ED0-2,Y16-29,F,PC,BE	95.1 	95.3 
A,ED0-2,Y16-29,F,PC,BG	91.9 	96.1 
A,ED0-2,Y16-29,F,PC,CH	98.9 	98.3 
A,ED0-2,Y16-29,F,PC,CY	95.6 	98.6 
A,ED0-2,Y16-29,F,PC,CZ	96.8 u	99.2 
A,ED0-2,Y16-29,F,PC,DE	94.5 	97.9 
A,ED0-2,Y16-29,F,PC,DK	92.4 	95.8 u
A,ED0-2,Y16-29,F,PC,EE	98.6 	98.6 
A,ED0-2,Y16-29,F,PC,EL	79.6 	95.3 
A,ED0-2,Y16-29,F,PC,ES	99.4 	98.6 
A,ED0-2,Y16-29,F,PC,EU27_2007	94.6 u	96.2 u
A,ED0-2,Y16-29,F,PC,EU27_2020	94.9 u	96.3 e
A,ED0-2,Y16-29,F,PC,EU28	94.6 u	96.2 u
A,ED0-2,Y16-29,F,PC,FI	98.5 	99.4 
A,ED0-2,Y16-29,F,PC,FR	94.3 u	98.0 u
A,ED0-2,Y16-29,F,PC,HR	97.3 u	98.5 
A,ED0-2,Y16-29,F,PC,HU	98.8 	99.4 
A,ED0-2,Y16-29,F,PC,IE	95.8 u	100.0 u
A,ED0-2,Y16-29,F,PC,IS	94.9 	97.8 
A,ED0-2,Y16-29,F,PC,IT	85.6 u	88.6 
A,ED0-2,Y16-29,F,PC,LT	97.0 u	99.0 
A,ED0-2,Y16-29,F,PC,LU	97.3 u	94.6 
A,ED0-2,Y16-29,F,PC,LV	95.6 	97.9 
A,ED0-2,Y16-29,F,PC,MK	: u	95.3 
A,ED0-2,Y16-29,F,PC,MT	95.4 u	97.1 
A,ED0-2,Y16-29,F,PC,NL	96.8 	93.8 
A,ED0-2,Y16-29,F,PC,NO	96.0 	99.1 
A,ED0-2,Y16-29,F,PC,PL	97.7 u	97.0 u
A,ED0-2,Y16-29,F,PC,PT	97.8 u	96.3 
A,ED0-2,Y16-29,F,PC,RO	90.8 	95.4 
A,ED0-2,Y16-29,F,PC,RS	95.2 u	97.2 
A,ED0-2,Y16-29,F,PC,SE	98.2 	97.5 
A,ED0-2,Y16-29,F,PC,SI	97.0 	99.5 
A,ED0-2,Y16-29,F,PC,SK	97.7 	98.6 
A,ED0-2,Y16-29,F,PC,UK	84.5 u	93.9 u
A,ED0-2,Y16-29,M,PC,AT	95.1 	96.7 
A,ED0-2,Y16-29,M,PC,BE	89.1 	91.5 
A,ED0-2,Y16-29,M,PC,BG	93.5 	95.0 
A,ED0-2,Y16-29,M,PC,CH	97.7 	93.6 
A,ED0-2,Y16-29,M,PC,CY	94.0 	98.2 
A,ED0-2,Y16-29,M,PC,CZ	91.0 u	98.3 
A,ED0-2,Y16-29,M,PC,DE	90.2 	96.5 
A,ED0-2,Y16-29,M,PC,DK	98.2 	96.7 u
A,ED0-2,Y16-29,M,PC,EE	95.8 	97.0 
A,ED0-2,Y16-29,M,PC,EL	79.0 	97.4 
A,ED0-2,Y16-29,M,PC,ES	97.9 	98.3 
A,ED0-2,Y16-29,M,PC,EU27_2007	93.0 u	95.6 u
A,ED0-2,Y16-29,M,PC,EU27_2020	93.2 u	95.6 e
A,ED0-2,Y16-29,M,PC,EU28	93.0 u	95.6 u
A,ED0-2,Y16-29,M,PC,FI	98.3 	99.0 
