freq,isced11,acl00,age,sex,unit,geo\TIME_PERIOD	2015 	2022 
A,ED0-2,AC41A,TOTAL,T,PC,NL	: 	23.7 
A,ED0-2,AC41A,TOTAL,T,PC,NO	: 	39.8 
A,ED0-2,AC41A,TOTAL,T,PC,PL	: 	3.6 
A,ED0-2,AC41A,TOTAL,T,PC,PT	: 	3.7 
A,ED0-2,AC41A,TOTAL,T,PC,RO	: 	2.5 
A,ED0-2,AC41A,TOTAL,T,PC,RS	: 	1.1 
A,ED0-2,AC41A,TOTAL,T,PC,SE	: 	15.2 
A,ED0-2,AC41A,TOTAL,T,PC,SI	: 	13.2 
A,ED0-2,AC41A,TOTAL,T,PC,SK	: 	4.9 
A,ED0-2,AC41A,TOTAL,T,PC,TR	: 	0.8 
A,ED0-2,AC41A,Y16-24,F,PC,AT	16.1 	18.2 
A,ED0-2,AC41A,Y16-24,F,PC,BE	18.7 	15.8 
A,ED0-2,AC41A,Y16-24,F,PC,BG	3.8 	4.8 
A,ED0-2,AC41A,Y16-24,F,PC,CH	36.8 	26.5 
A,ED0-2,AC41A,Y16-24,F,PC,CY	9.4 	6.2 
A,ED0-2,AC41A,Y16-24,F,PC,CZ	14.6 	15.0 
A,ED0-2,AC41A,Y16-24,F,PC,DE	25.0 	: u
A,ED0-2,AC41A,Y16-24,F,PC,DK	42.9 	27.4 
A,ED0-2,AC41A,Y16-24,F,PC,EE	23.1 	17.1 
A,ED0-2,AC41A,Y16-24,F,PC,EL	12.9 	5.7 
A,ED0-2,AC41A,Y16-24,F,PC,ES	7.8 	8.5 
A,ED0-2,AC41A,Y16-24,F,PC,EU27_2007	18.9 e	: 
A,ED0-2,AC41A,Y16-24,F,PC,EU27_2020	19.0 e	12.5 u
A,ED0-2,AC41A,Y16-24,F,PC,EU28	18.9 e	: 
A,ED0-2,AC41A,Y16-24,F,PC,FI	33.7 	25.5 
A,ED0-2,AC41A,Y16-24,F,PC,FR	16.4 	14.1 
A,ED0-2,AC41A,Y16-24,F,PC,HR	15.4 	12.0 
A,ED0-2,AC41A,Y16-24,F,PC,HU	15.4 	13.4 
A,ED0-2,AC41A,Y16-24,F,PC,IE	15.8 u	25.2 
A,ED0-2,AC41A,Y16-24,F,PC,IS	27.7 	: 
A,ED0-2,AC41A,Y16-24,F,PC,IT	19.2 	5.1 
A,ED0-2,AC41A,Y16-24,F,PC,LT	17.6 	10.4 
A,ED0-2,AC41A,Y16-24,F,PC,LU	37.1 	28.6 
A,ED0-2,AC41A,Y16-24,F,PC,LV	7.5 	8.7 
A,ED0-2,AC41A,Y16-24,F,PC,ME	: 	2.7 
A,ED0-2,AC41A,Y16-24,F,PC,MK	7.2 	: 
A,ED0-2,AC41A,Y16-24,F,PC,MT	2.3 	0 u
A,ED0-2,AC41A,Y16-24,F,PC,NL	57.7 	31.5 
A,ED0-2,AC41A,Y16-24,F,PC,NO	56.9 	45.3 
A,ED0-2,AC41A,Y16-24,F,PC,PL	19.9 u	10.0 
A,ED0-2,AC41A,Y16-24,F,PC,PT	10.8 	14.6 
A,ED0-2,AC41A,Y16-24,F,PC,RO	8.9 	11.4 
A,ED0-2,AC41A,Y16-24,F,PC,RS	12.2 	7.6 
A,ED0-2,AC41A,Y16-24,F,PC,SE	29.5 	13.4 
A,ED0-2,AC41A,Y16-24,F,PC,SI	31.6 	28.4 
A,ED0-2,AC41A,Y16-24,F,PC,SK	6.7 	8.8 
A,ED0-2,AC41A,Y16-24,F,PC,TR	: 	1.4 
A,ED0-2,AC41A,Y16-24,F,PC,UK	14.4 u	: 
A,ED0-2,AC41A,Y16-24,M,PC,AT	25.4 	16.8 
A,ED0-2,AC41A,Y16-24,M,PC,BE	21.2 	7.3 
A,ED0-2,AC41A,Y16-24,M,PC,BG	4.1 	2.5 
A,ED0-2,AC41A,Y16-24,M,PC,CH	41.0 	23.1 
A,ED0-2,AC41A,Y16-24,M,PC,CY	3.0 	8.4 
A,ED0-2,AC41A,Y16-24,M,PC,CZ	12.4 	9.8 
A,ED0-2,AC41A,Y16-24,M,PC,DE	23.9 	: u
A,ED0-2,AC41A,Y16-24,M,PC,DK	27.5 	19.7 
A,ED0-2,AC41A,Y16-24,M,PC,EE	17.9 	9.8 
A,ED0-2,AC41A,Y16-24,M,PC,EL	10.2 	8.4 
A,ED0-2,AC41A,Y16-24,M,PC,ES	5.6 	6.9 
A,ED0-2,AC41A,Y16-24,M,PC,EU27_2007	15.7 e	: 
A,ED0-2,AC41A,Y16-24,M,PC,EU27_2020	16.0 e	10.6 u
A,ED0-2,AC41A,Y16-24,M,PC,EU28	15.7 e	: 
A,ED0-2,AC41A,Y16-24,M,PC,FI	20.9 	12.0 
A,ED0-2,AC41A,Y16-24,M,PC,FR	14.6 	13.5 
A,ED0-2,AC41A,Y16-24,M,PC,HR	12.4 	11.0 
A,ED0-2,AC41A,Y16-24,M,PC,HU	12.5 	18.1 
A,ED0-2,AC41A,Y16-24,M,PC,IE	31.4 u	17.9 
A,ED0-2,AC41A,Y16-24,M,PC,IS	32.3 	: 
A,ED0-2,AC41A,Y16-24,M,PC,IT	11.8 	4.6 
A,ED0-2,AC41A,Y16-24,M,PC,LT	8.8 	9.4 
A,ED0-2,AC41A,Y16-24,M,PC,LU	45.1 	37.9 
A,ED0-2,AC41A,Y16-24,M,PC,LV	5.5 	2.1 
A,ED0-2,AC41A,Y16-24,M,PC,ME	: 	2.7 
A,ED0-2,AC41A,Y16-24,M,PC,MK	10.1 	: 
A,ED0-2,AC41A,Y16-24,M,PC,MT	5.0 	4.7 
A,ED0-2,AC41A,Y16-24,M,PC,NL	24.2 	21.7 
A,ED0-2,AC41A,Y16-24,M,PC,NO	48.4 	46.1 
A,ED0-2,AC41A,Y16-24,M,PC,PL	16.3 u	5.2 
A,ED0-2,AC41A,Y16-24,M,PC,PT	10.5 	11.1 
A,ED0-2,AC41A,Y16-24,M,PC,RO	6.1 	6.6 
A,ED0-2,AC41A,Y16-24,M,PC,RS	7.3 	3.6 
A,ED0-2,AC41A,Y16-24,M,PC,SE	31.5 	20.3 
A,ED0-2,AC41A,Y16-24,M,PC,SI	32.7 	17.1 
A,ED0-2,AC41A,Y16-24,M,PC,SK	6.3 	12.5 
A,ED0-2,AC41A,Y16-24,M,PC,TR	: 	1.8 
A,ED0-2,AC41A,Y16-24,M,PC,UK	2.9 u	: 
A,ED0-2,AC41A,Y16-24,T,PC,AT	21.4 	17.5 
A,ED0-2,AC41A,Y16-24,T,PC,BE	20.0 	11.1 
A,ED0-2,AC41A,Y16-24,T,PC,BG	4.0 	3.7 
