A,PTP_RT,F,ED1,AC1A,FR	19.0 	21.1 
A,PTP_RT,F,ED1,AC1A,HU	: 	8.8 
A,PTP_RT,F,ED1,AC1A,IT	7.4 	7.8 
A,PTP_RT,F,ED1,AC1A,LT	18.8 	: 
A,PTP_RT,F,ED1,AC1A,LU	: 	33.8 
A,PTP_RT,F,ED1,AC1A,LV	17.3 	: 
A,PTP_RT,F,ED1,AC1A,NO	:U 	0 
A,PTP_RT,F,ED1,AC1A,PL	22.1 	15.2 
A,PTP_RT,F,ED1,AC1A,RO	: 	23.3 
A,PTP_RT,F,ED1,AC1A,RS	: 	34.4 
A,PTP_RT,F,ED1,AC1A,SI	14.2 	: 
A,PTP_RT,F,ED1,AC1A,TR	: 	15.9 
A,PTP_RT,F,ED1,AC1A,UK	19.4 	: 
A,PTP_RT,F,ED1,AC1B,AT	: 	29.4 
A,PTP_RT,F,ED1,AC1B,BE	: 	6.6 
A,PTP_RT,F,ED1,AC1B,BG	1.6 	: 
A,PTP_RT,F,ED1,AC1B,DE	11.0 	0.9 
A,PTP_RT,F,ED1,AC1B,EE	1.0 	2.8 
A,PTP_RT,F,ED1,AC1B,EL	: 	0.4 
A,PTP_RT,F,ED1,AC1B,ES	0.9 	1.6 
A,PTP_RT,F,ED1,AC1B,FI	3.8 	2.9 
A,PTP_RT,F,ED1,AC1B,FR	0.6 	3.7 
A,PTP_RT,F,ED1,AC1B,HU	: 	0 
A,PTP_RT,F,ED1,AC1B,IT	0.2 	0.7 
A,PTP_RT,F,ED1,AC1B,LT	0.0 	: 
A,PTP_RT,F,ED1,AC1B,LU	: 	6.7 
A,PTP_RT,F,ED1,AC1B,LV	1.5 	: 
A,PTP_RT,F,ED1,AC1B,NO	:U 	0 
A,PTP_RT,F,ED1,AC1B,PL	1.5 	1.8 
A,PTP_RT,F,ED1,AC1B,RO	: 	0.6 
A,PTP_RT,F,ED1,AC1B,RS	: 	0.4 
A,PTP_RT,F,ED1,AC1B,SI	4.2 	: 
A,PTP_RT,F,ED1,AC1B,TR	: 	1.3 
A,PTP_RT,F,ED1,AC1B,UK	3.4 	: 
A,PTP_RT,F,ED1,AC1_TR,AT	: 	47.5 
A,PTP_RT,F,ED1,AC1_TR,BE	: 	12.4 
A,PTP_RT,F,ED1,AC1_TR,BG	6.6 	: 
A,PTP_RT,F,ED1,AC1_TR,DE	29.9 	16.3 
A,PTP_RT,F,ED1,AC1_TR,EE	8.7 	5.4 
A,PTP_RT,F,ED1,AC1_TR,EL	: 	13.6 
A,PTP_RT,F,ED1,AC1_TR,ES	13.3 	18.4 
A,PTP_RT,F,ED1,AC1_TR,FI	20.4 	14.7 
A,PTP_RT,F,ED1,AC1_TR,FR	19.5 	21.6 
A,PTP_RT,F,ED1,AC1_TR,HU	: 	8.8 
A,PTP_RT,F,ED1,AC1_TR,IT	7.4 	7.9 
A,PTP_RT,F,ED1,AC1_TR,LT	18.8 	: 
A,PTP_RT,F,ED1,AC1_TR,LU	: 	34.7 
A,PTP_RT,F,ED1,AC1_TR,LV	17.3 	: 
A,PTP_RT,F,ED1,AC1_TR,NO	:U 	0 
A,PTP_RT,F,ED1,AC1_TR,PL	22.5 	15.7 
A,PTP_RT,F,ED1,AC1_TR,RO	: 	23.5 
A,PTP_RT,F,ED1,AC1_TR,RS	: 	34.4 
