freq,unit,isced11,indic_wb,sex,age,geo\TIME_PERIOD	2013 	2014 	2015 
A,RTG,ED0-2,LEGTST,F,Y25-34,TR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y25-34,UK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,AT	5.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,BE	4.8 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,BG	2.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,CH	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,CY	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,CZ	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,DE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,DK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,EA20	: 	3.5 e	3.5 e
A,RTG,ED0-2,LEGTST,F,Y35-49,EE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,EL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,ES	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,EU	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,EU27_2020	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,EU28	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,FI	6.2 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,FR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,HR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,HU	4.5 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,IE	4.3 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,IS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,IT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,LT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,LU	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,LV	4.1 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,ME	3.9 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,MK	4.2 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,MT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,NL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,NO	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,PL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,PT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,RO	5.6 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,RS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,SE	6.7 u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,SI	: z	: 	: 
