A,GE1,DEG1,A1,QUINTILE3,PC,BG	43.2 u	33.4 
A,GE1,DEG1,A1,QUINTILE3,PC,CH	: 	87.2 
A,GE1,DEG1,A1,QUINTILE3,PC,CY	56.3 u	57.8 
A,GE1,DEG1,A1,QUINTILE3,PC,CZ	82.0 	86.5 
A,GE1,DEG1,A1,QUINTILE3,PC,DE	82.0 	82.9 
A,GE1,DEG1,A1,QUINTILE3,PC,DK	80.1 	89.6 
A,GE1,DEG1,A1,QUINTILE3,PC,EE	80.3 	87.2 u
A,GE1,DEG1,A1,QUINTILE3,PC,EL	48.0 	40.8 
A,GE1,DEG1,A1,QUINTILE3,PC,ES	75.1 	55.5 
A,GE1,DEG1,A1,QUINTILE3,PC,EU27_2007	: 	65.4 e
A,GE1,DEG1,A1,QUINTILE3,PC,EU27_2020	: 	66.4 e
A,GE1,DEG1,A1,QUINTILE3,PC,EU28	: 	65.3 e
A,GE1,DEG1,A1,QUINTILE3,PC,FI	91.7 	87.6 
A,GE1,DEG1,A1,QUINTILE3,PC,FR	73.5 	75.9 
A,GE1,DEG1,A1,QUINTILE3,PC,HR	: 	43.5 
A,GE1,DEG1,A1,QUINTILE3,PC,HU	41.1 	46.0 
A,GE1,DEG1,A1,QUINTILE3,PC,IE	76.6 	84.7 
A,GE1,DEG1,A1,QUINTILE3,PC,IS	89.1 u	95.9 u
A,GE1,DEG1,A1,QUINTILE3,PC,IT	47.8 	42.0 
A,GE1,DEG1,A1,QUINTILE3,PC,LT	56.6 	51.7 
A,GE1,DEG1,A1,QUINTILE3,PC,LU	71.1 	83.5 u
A,GE1,DEG1,A1,QUINTILE3,PC,LV	52.6 	67.3 
A,GE1,DEG1,A1,QUINTILE3,PC,MT	32.0 	51.1 
A,GE1,DEG1,A1,QUINTILE3,PC,NL	77.3 	85.0 
A,GE1,DEG1,A1,QUINTILE3,PC,NO	81.5 	93.8 
A,GE1,DEG1,A1,QUINTILE3,PC,PL	47.1 	54.3 
A,GE1,DEG1,A1,QUINTILE3,PC,PT	47.3 u	46.1 
A,GE1,DEG1,A1,QUINTILE3,PC,RO	: 	20.8 
A,GE1,DEG1,A1,QUINTILE3,PC,RS	: 	8.4 
A,GE1,DEG1,A1,QUINTILE3,PC,SE	86.5 	94.5 
A,GE1,DEG1,A1,QUINTILE3,PC,SI	51.8 u	77.7 u
A,GE1,DEG1,A1,QUINTILE3,PC,SK	51.1 u	64.7 
A,GE1,DEG1,A1,QUINTILE3,PC,UK	73.4 	59.2 
A,GE1,DEG1,A1,QUINTILE4,PC,AT	84.3 	88.7 
A,GE1,DEG1,A1,QUINTILE4,PC,BE	84.5 	87.0 
A,GE1,DEG1,A1,QUINTILE4,PC,BG	42.2 u	50.8 
A,GE1,DEG1,A1,QUINTILE4,PC,CH	: 	94.1 
A,GE1,DEG1,A1,QUINTILE4,PC,CY	78.0 u	69.5 
A,GE1,DEG1,A1,QUINTILE4,PC,CZ	89.4 	91.4 
