freq,acl00,quantile,deg_urb,hhtyp,unit,geo\TIME_PERIOD	2015 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,IS	20.3 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,IT	8.4 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,LT	13.5 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,LU	11.5 u
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,LV	3.5 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,MT	5.4 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,NL	35.3 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,NO	47.4 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,PL	6.5 u
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,PT	4.1 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,RO	0.3 u
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,RS	3.5 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,SE	19.2 u
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,SI	24.3 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,SK	3.1 
A,AC41A,QUINTILE1,DEG1,A2_DCH,PC,UK	10.1 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,AT	9.5 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,BE	1.4 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,BG	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,CH	13.8 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,CY	3.7 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,CZ	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,DE	10.3 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,DK	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,EE	2.7 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,EL	5.2 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,ES	7.2 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,EU27_2007	: u
