freq,frequenc,ind_type,isced11,age,sex,unit,geo\TIME_PERIOD	2015 	2022 
A,1M,FAM,ED0-2,TOTAL,F,PC,AT	8.8 	5.9 
A,1M,FAM,ED0-2,TOTAL,F,PC,BE	5.0 	5.6 
A,1M,FAM,ED0-2,TOTAL,F,PC,BG	15.6 	3.9 
A,1M,FAM,ED0-2,TOTAL,F,PC,CH	7.3 	6.4 
A,1M,FAM,ED0-2,TOTAL,F,PC,CY	1.2 	0.7 
A,1M,FAM,ED0-2,TOTAL,F,PC,CZ	7.7 	5.7 
A,1M,FAM,ED0-2,TOTAL,F,PC,DE	7.4 	: u
A,1M,FAM,ED0-2,TOTAL,F,PC,DK	5.3 	13.5 
A,1M,FAM,ED0-2,TOTAL,F,PC,EE	11.7 	10.3 
A,1M,FAM,ED0-2,TOTAL,F,PC,EL	7.4 	4.3 
A,1M,FAM,ED0-2,TOTAL,F,PC,ES	4.7 	4.6 
A,1M,FAM,ED0-2,TOTAL,F,PC,EU27_2020	7.2 	5.5 u
A,1M,FAM,ED0-2,TOTAL,F,PC,FI	4.0 	3.2 
A,1M,FAM,ED0-2,TOTAL,F,PC,FR	4.4 	4.7 
A,1M,FAM,ED0-2,TOTAL,F,PC,HR	12.3 	8.6 
A,1M,FAM,ED0-2,TOTAL,F,PC,HU	14.9 	7.5 
A,1M,FAM,ED0-2,TOTAL,F,PC,IE	3.6 u	8.1 
A,1M,FAM,ED0-2,TOTAL,F,PC,IS	4.5 	: 
A,1M,FAM,ED0-2,TOTAL,F,PC,IT	5.4 	5.1 
A,1M,FAM,ED0-2,TOTAL,F,PC,LT	12.8 	9.6 
A,1M,FAM,ED0-2,TOTAL,F,PC,LU	4.6 	5.1 
A,1M,FAM,ED0-2,TOTAL,F,PC,LV	16.5 	11.9 
A,1M,FAM,ED0-2,TOTAL,F,PC,ME	10.1 	5.9 
A,1M,FAM,ED0-2,TOTAL,F,PC,MK	5.4 	: 
A,1M,FAM,ED0-2,TOTAL,F,PC,MT	4.0 	2.2 
A,1M,FAM,ED0-2,TOTAL,F,PC,NL	4.0 	3.6 
A,1M,FAM,ED0-2,TOTAL,F,PC,NO	6.4 	5.0 
A,1M,FAM,ED0-2,TOTAL,F,PC,PL	20.0 u	7.4 
A,1M,FAM,ED0-2,TOTAL,F,PC,PT	8.5 	6.5 
A,1M,FAM,ED0-2,TOTAL,F,PC,RO	13.0 	6.8 
A,1M,FAM,ED0-2,TOTAL,F,PC,RS	9.0 	7.7 
A,1M,FAM,ED0-2,TOTAL,F,PC,SE	6.5 	9.8 
A,1M,FAM,ED0-2,TOTAL,F,PC,SI	10.5 	8.6 
A,1M,FAM,ED0-2,TOTAL,F,PC,SK	10.1 	7.2 
A,1M,FAM,ED0-2,TOTAL,F,PC,TR	: 	6.5 
A,1M,FAM,ED0-2,TOTAL,F,PC,UK	4.2 u	: 
