freq,isced11,age,sex,unit,geo\TIME_PERIOD	2013 	2015 	2022 
A,ED0-2,TOTAL,T,PC,RS	: 	: 	81.8 
A,ED0-2,TOTAL,T,PC,SE	: 	: 	94.5 
A,ED0-2,TOTAL,T,PC,SI	: 	: 	88.1 
A,ED0-2,TOTAL,T,PC,SK	: 	: 	83.1 
A,ED0-2,TOTAL,T,PC,TR	: 	: 	88.0 
A,ED0-2,Y16-24,F,PC,AT	99.2 	96.7 	90.8 
A,ED0-2,Y16-24,F,PC,BE	95.7 	91.9 	92.6 
A,ED0-2,Y16-24,F,PC,BG	92.9 	95.0 	96.6 
A,ED0-2,Y16-24,F,PC,CH	100.0 	98.5 	98.9 
A,ED0-2,Y16-24,F,PC,CY	95.9 	94.7 	99.2 
A,ED0-2,Y16-24,F,PC,CZ	97.4 u	98.8 	97.9 
A,ED0-2,Y16-24,F,PC,DE	95.5 	96.6 	81.2 
A,ED0-2,Y16-24,F,PC,DK	98.0 	92.1 u	93.3 
A,ED0-2,Y16-24,F,PC,EE	98.1 	88.8 	90.1 
A,ED0-2,Y16-24,F,PC,EL	90.0 	97.9 	82.5 
A,ED0-2,Y16-24,F,PC,ES	94.6 	97.5 	93.1 
A,ED0-2,Y16-24,F,PC,EU27_2007	94.7 u	95.2 e	: 
A,ED0-2,Y16-24,F,PC,EU27_2020	94.9 u	95.5 e	85.8 u
A,ED0-2,Y16-24,F,PC,EU28	94.7 u	95.3 e	: 
A,ED0-2,Y16-24,F,PC,FI	96.7 	100.0 	95.6 
A,ED0-2,Y16-24,F,PC,FR	95.8 u	95.0 	93.3 u
A,ED0-2,Y16-24,F,PC,HR	91.4 u	98.5 	68.2 u
A,ED0-2,Y16-24,F,PC,HU	97.3 	98.9 	97.3 u
A,ED0-2,Y16-24,F,PC,IE	100.0 u	97.7 u	: u
A,ED0-2,Y16-24,F,PC,IS	95.7 	97.1 	: 
A,ED0-2,Y16-24,F,PC,IT	87.0 u	89.5 	75.9 
A,ED0-2,Y16-24,F,PC,LT	99.1 u	99.6 	92.5 u
A,ED0-2,Y16-24,F,PC,LU	92.7 u	92.6 	97.8 
A,ED0-2,Y16-24,F,PC,LV	91.3 	88.0 	88.1 u
A,ED0-2,Y16-24,F,PC,ME	: 	: 	78.9 
A,ED0-2,Y16-24,F,PC,MK	: u	91.6 	: 
A,ED0-2,Y16-24,F,PC,MT	94.9 u	96.4 	96.4 u
A,ED0-2,Y16-24,F,PC,NL	97.8 	91.2 	100.0 
A,ED0-2,Y16-24,F,PC,NO	96.0 	96.6 	98.5 
A,ED0-2,Y16-24,F,PC,PL	98.1 u	98.9 u	94.5 u
A,ED0-2,Y16-24,F,PC,PT	89.9 u	92.3 	99.4 u
A,ED0-2,Y16-24,F,PC,RO	90.0 	96.5 	77.7 
A,ED0-2,Y16-24,F,PC,RS	86.3 u	96.1 	87.4 
A,ED0-2,Y16-24,F,PC,SE	99.0 	92.9 	97.5 
A,ED0-2,Y16-24,F,PC,SI	99.0 	97.8 	96.4 u
A,ED0-2,Y16-24,F,PC,SK	97.6 	98.6 	90.8 
A,ED0-2,Y16-24,F,PC,TR	: 	: 	85.0 
A,ED0-2,Y16-24,F,PC,UK	88.4 u	85.8 u	: 
A,ED0-2,Y16-24,M,PC,AT	97.9 	94.5 	89.6 
A,ED0-2,Y16-24,M,PC,BE	94.0 	88.5 	90.8 
A,ED0-2,Y16-24,M,PC,BG	94.1 	96.1 	96.1 
A,ED0-2,Y16-24,M,PC,CH	98.6 	98.3 	97.7 
A,ED0-2,Y16-24,M,PC,CY	93.9 	99.2 	95.2 
A,ED0-2,Y16-24,M,PC,CZ	90.9 u	99.1 	97.0 
A,ED0-2,Y16-24,M,PC,DE	91.5 	97.6 	77.8 
A,ED0-2,Y16-24,M,PC,DK	100.0 	100.0 u	92.6 
A,ED0-2,Y16-24,M,PC,EE	97.5 	92.5 	96.3 
A,ED0-2,Y16-24,M,PC,EL	91.3 	96.3 	91.3 
A,ED0-2,Y16-24,M,PC,ES	95.3 	97.3 	95.0 
A,ED0-2,Y16-24,M,PC,EU27_2007	: u	95.7 e	: 
A,ED0-2,Y16-24,M,PC,EU27_2020	93.9 u	95.9 e	85.0 u
A,ED0-2,Y16-24,M,PC,EU28	: u	95.7 e	: 
A,ED0-2,Y16-24,M,PC,FI	98.4 	100.0 	97.2 
A,ED0-2,Y16-24,M,PC,FR	96.0 u	92.5 	93.2 u
A,ED0-2,Y16-24,M,PC,HR	88.9 u	96.9 	76.5 u
A,ED0-2,Y16-24,M,PC,HU	97.2 	99.3 	96.5 u
A,ED0-2,Y16-24,M,PC,IE	97.1 u	97.6 u	: u
A,ED0-2,Y16-24,M,PC,IS	97.5 	96.6 	: 
A,ED0-2,Y16-24,M,PC,IT	93.2 u	91.9 	77.1 
A,ED0-2,Y16-24,M,PC,LT	98.3 u	92.4 	99.3 u
A,ED0-2,Y16-24,M,PC,LU	90.7 u	89.2 	96.9 
A,ED0-2,Y16-24,M,PC,LV	89.6 	90.8 	90.7 u
A,ED0-2,Y16-24,M,PC,ME	: 	: 	85.6 
A,ED0-2,Y16-24,M,PC,MK	: u	93.3 	: 
A,ED0-2,Y16-24,M,PC,MT	98.1 u	91.6 	98.9 
A,ED0-2,Y16-24,M,PC,NL	93.5 	95.8 	91.7 
A,ED0-2,Y16-24,M,PC,NO	95.8 	99.3 	97.4 
A,ED0-2,Y16-24,M,PC,PL	95.2 u	99.7 u	98.1 u
A,ED0-2,Y16-24,M,PC,PT	93.2 u	91.5 	98.1 u
A,ED0-2,Y16-24,M,PC,RO	92.5 	97.1 	79.8 
A,ED0-2,Y16-24,M,PC,RS	90.0 u	96.6 	90.2 
A,ED0-2,Y16-24,M,PC,SE	95.5 	97.7 	95.3 
A,ED0-2,Y16-24,M,PC,SI	95.2 	100.0 	94.6 
A,ED0-2,Y16-24,M,PC,SK	96.2 	98.5 	88.6 
A,ED0-2,Y16-24,M,PC,TR	: 	: 	85.4 
A,ED0-2,Y16-24,M,PC,UK	: u	88.0 u	: 
A,ED0-2,Y16-24,T,PC,AT	98.6 	95.4 	90.2 
A,ED0-2,Y16-24,T,PC,BE	94.8 	90.1 	91.7 
A,ED0-2,Y16-24,T,PC,BG	93.5 	95.5 	96.3 
A,ED0-2,Y16-24,T,PC,CH	99.3 	98.4 	98.3 
A,ED0-2,Y16-24,T,PC,CY	94.7 	97.2 	97.3 
A,ED0-2,Y16-24,T,PC,CZ	94.0 u	99.0 	97.4 
A,ED0-2,Y16-24,T,PC,DE	93.4 	97.2 	79.3 
A,ED0-2,Y16-24,T,PC,DK	99.2 	96.4 u	92.9 
A,ED0-2,Y16-24,T,PC,EE	97.8 	90.9 	93.3 
A,ED0-2,Y16-24,T,PC,EL	90.7 	97.0 	87.0 
A,ED0-2,Y16-24,T,PC,ES	95.0 	97.4 	94.2 
A,ED0-2,Y16-24,T,PC,EU27_2007	94.2 u	95.5 e	: 
A,ED0-2,Y16-24,T,PC,EU27_2020	94.4 u	95.7 e	85.4 u
A,ED0-2,Y16-24,T,PC,EU28	94.2 u	95.5 e	: 
A,ED0-2,Y16-24,T,PC,FI	97.5 	100.0 	96.4 
A,ED0-2,Y16-24,T,PC,FR	95.9 u	93.7 	93.2 u
A,ED0-2,Y16-24,T,PC,HR	90.1 u	97.7 	72.0 u
A,ED0-2,Y16-24,T,PC,HU	97.3 	99.1 	97.0 u
A,ED0-2,Y16-24,T,PC,IE	98.4 u	97.7 u	96.9 u
A,ED0-2,Y16-24,T,PC,IS	96.7 	96.9 	: 
A,ED0-2,Y16-24,T,PC,IT	90.7 u	90.8 	76.6 
A,ED0-2,Y16-24,T,PC,LT	98.7 u	95.7 	96.5 u
A,ED0-2,Y16-24,T,PC,LU	91.8 u	90.7 	97.3 
A,ED0-2,Y16-24,T,PC,LV	90.4 	89.5 	89.3 u
A,ED0-2,Y16-24,T,PC,ME	: 	: 	82.4 
A,ED0-2,Y16-24,T,PC,MK	: u	92.4 	: 
A,ED0-2,Y16-24,T,PC,MT	96.6 u	93.4 	97.9 
A,ED0-2,Y16-24,T,PC,NL	95.2 	93.6 	95.6 
A,ED0-2,Y16-24,T,PC,NO	95.9 	98.1 	97.9 
A,ED0-2,Y16-24,T,PC,PL	96.6 u	99.3 u	96.5 u
A,ED0-2,Y16-24,T,PC,PT	91.6 u	91.8 	98.9 u
A,ED0-2,Y16-24,T,PC,RO	91.3 	96.8 	78.8 
A,ED0-2,Y16-24,T,PC,RS	88.1 u	96.4 	88.8 
A,ED0-2,Y16-24,T,PC,SE	97.3 	95.2 	96.3 
A,ED0-2,Y16-24,T,PC,SI	96.6 	98.9 	95.4 
A,ED0-2,Y16-24,T,PC,SK	96.8 	98.5 	89.7 
A,ED0-2,Y16-24,T,PC,TR	: 	: 	85.2 
A,ED0-2,Y16-24,T,PC,UK	85.7 u	86.9 u	: 
A,ED0-2,Y16-29,F,PC,AT	99.3 	95.8 	: 
A,ED0-2,Y16-29,F,PC,BE	91.7 	91.6 	: 
A,ED0-2,Y16-29,F,PC,BG	92.7 	94.7 	: 
A,ED0-2,Y16-29,F,PC,CH	98.9 	96.7 	: 
A,ED0-2,Y16-29,F,PC,CY	95.3 	93.0 	: 
A,ED0-2,Y16-29,F,PC,CZ	96.9 u	98.9 	: 
A,ED0-2,Y16-29,F,PC,DE	94.8 	95.6 	: 
A,ED0-2,Y16-29,F,PC,DK	98.4 	94.1 u	: 
A,ED0-2,Y16-29,F,PC,EE	98.3 	89.3 	: 
A,ED0-2,Y16-29,F,PC,EL	87.1 	96.7 	: 
A,ED0-2,Y16-29,F,PC,ES	94.6 	97.5 	: 
A,ED0-2,Y16-29,F,PC,EU27_2007	94.2 u	94.4 e	: 
A,ED0-2,Y16-29,F,PC,EU27_2020	94.2 u	94.8 e	: 
A,ED0-2,Y16-29,F,PC,EU28	94.1 u	94.4 e	: 
A,ED0-2,Y16-29,F,PC,FI	97.0 	100.0 	: 
A,ED0-2,Y16-29,F,PC,FR	95.6 u	94.5 	: 
A,ED0-2,Y16-29,F,PC,HR	83.8 u	96.6 	: 
A,ED0-2,Y16-29,F,PC,HU	97.0 	98.8 	: 
A,ED0-2,Y16-29,F,PC,IE	97.7 u	98.0 u	: 
A,ED0-2,Y16-29,F,PC,IS	95.7 	97.5 	: 
A,ED0-2,Y16-29,F,PC,IT	86.3 u	87.9 	: 
A,ED0-2,Y16-29,F,PC,LT	99.2 u	94.7 	: 
A,ED0-2,Y16-29,F,PC,LU	89.6 u	91.0 	: 
A,ED0-2,Y16-29,F,PC,LV	91.5 	88.9 	: 
A,ED0-2,Y16-29,F,PC,MK	: u	92.7 	: 
A,ED0-2,Y16-29,F,PC,MT	92.4 u	94.0 	: 
A,ED0-2,Y16-29,F,PC,NL	97.3 	92.7 	: 
A,ED0-2,Y16-29,F,PC,NO	95.9 	95.6 	: 
A,ED0-2,Y16-29,F,PC,PL	97.2 u	98.4 u	: 
A,ED0-2,Y16-29,F,PC,PT	90.7 u	90.6 	: 
A,ED0-2,Y16-29,F,PC,RO	91.0 	95.9 	: 
A,ED0-2,Y16-29,F,PC,RS	83.8 u	93.6 	: 
A,ED0-2,Y16-29,F,PC,SE	99.1 	93.4 	: 
A,ED0-2,Y16-29,F,PC,SI	94.9 	97.9 	: 
A,ED0-2,Y16-29,F,PC,SK	97.5 	98.6 	: 
A,ED0-2,Y16-29,F,PC,UK	93.7 u	87.2 u	: 
A,ED0-2,Y16-29,M,PC,AT	97.4 	94.0 	: 
A,ED0-2,Y16-29,M,PC,BE	94.0 	86.9 	: 
A,ED0-2,Y16-29,M,PC,BG	91.7 	96.6 	: 
A,ED0-2,Y16-29,M,PC,CH	97.2 	97.6 	: 
A,ED0-2,Y16-29,M,PC,CY	92.1 	97.9 	: 
A,ED0-2,Y16-29,M,PC,CZ	90.1 u	99.2 	: 
A,ED0-2,Y16-29,M,PC,DE	90.6 	97.4 	: 
A,ED0-2,Y16-29,M,PC,DK	100.0 	97.5 u	: 
A,ED0-2,Y16-29,M,PC,EE	96.8 	92.4 	: 
A,ED0-2,Y16-29,M,PC,EL	91.5 	96.1 	: 
A,ED0-2,Y16-29,M,PC,ES	96.3 	97.4 	: 
A,ED0-2,Y16-29,M,PC,EU27_2007	93.1 u	95.1 e	: 
A,ED0-2,Y16-29,M,PC,EU27_2020	93.3 u	95.4 e	: 
A,ED0-2,Y16-29,M,PC,EU28	93.1 u	95.1 e	: 
A,ED0-2,Y16-29,M,PC,FI	98.7 	100.0 	: 
A,ED0-2,Y16-29,M,PC,FR	97.1 u	92.3 	: 
A,ED0-2,Y16-29,M,PC,HR	81.7 u	95.9 	: 
A,ED0-2,Y16-29,M,PC,HU	97.1 	98.4 	: 
A,ED0-2,Y16-29,M,PC,IE	97.2 u	98.0 u	: 
A,ED0-2,Y16-29,M,PC,IS	97.3 	94.8 	: 
A,ED0-2,Y16-29,M,PC,IT	87.7 u	90.6 	: 
A,ED0-2,Y16-29,M,PC,LT	97.3 u	93.2 	: 
A,ED0-2,Y16-29,M,PC,LU	87.5 u	89.6 	: 
A,ED0-2,Y16-29,M,PC,LV	89.3 	89.9 	: 
A,ED0-2,Y16-29,M,PC,MK	: u	92.5 	: 
A,ED0-2,Y16-29,M,PC,MT	93.1 u	92.2 	: 
A,ED0-2,Y16-29,M,PC,NL	94.7 	96.4 	: 
A,ED0-2,Y16-29,M,PC,NO	95.6 	98.9 	: 
A,ED0-2,Y16-29,M,PC,PL	94.6 u	99.0 u	: 
A,ED0-2,Y16-29,M,PC,PT	90.6 u	90.6 	: 
A,ED0-2,Y16-29,M,PC,RO	91.3 	96.7 	: 
A,ED0-2,Y16-29,M,PC,RS	90.5 u	95.5 	: 
A,ED0-2,Y16-29,M,PC,SE	95.0 	96.1 	: 
A,ED0-2,Y16-29,M,PC,SI	96.2 	98.2 	: 
A,ED0-2,Y16-29,M,PC,SK	95.9 	98.4 	: 
A,ED0-2,Y16-29,M,PC,UK	82.6 u	87.0 u	: 
A,ED0-2,Y16-29,T,PC,AT	98.4 	94.9 	: 
A,ED0-2,Y16-29,T,PC,BE	92.9 	89.1 	: 
A,ED0-2,Y16-29,T,PC,BG	92.2 	95.6 	: 
A,ED0-2,Y16-29,T,PC,CH	98.0 	97.1 	: 
A,ED0-2,Y16-29,T,PC,CY	93.4 	95.7 	: 
A,ED0-2,Y16-29,T,PC,CZ	93.4 u	99.1 	: 
A,ED0-2,Y16-29,T,PC,DE	92.6 	96.6 	: 
A,ED0-2,Y16-29,T,PC,DK	99.3 	96.1 	: 
A,ED0-2,Y16-29,T,PC,EE	97.5 	91.1 	: 
A,ED0-2,Y16-29,T,PC,EL	89.4 	96.4 	: 
A,ED0-2,Y16-29,T,PC,ES	95.5 	97.4 	: 
A,ED0-2,Y16-29,T,PC,EU27_2007	93.6 u	94.8 e	: 
A,ED0-2,Y16-29,T,PC,EU27_2020	93.7 u	95.1 e	: 
A,ED0-2,Y16-29,T,PC,EU28	93.6 u	94.8 e	: 
A,ED0-2,Y16-29,T,PC,FI	97.8 	100.0 	: 
A,ED0-2,Y16-29,T,PC,FR	96.2 u	93.4 	: 
A,ED0-2,Y16-29,T,PC,HR	82.7 u	96.2 	: 
A,ED0-2,Y16-29,T,PC,HU	97.1 	98.6 	: 
A,ED0-2,Y16-29,T,PC,IE	97.5 u	98.0 u	: 
A,ED0-2,Y16-29,T,PC,IS	96.6 	95.9 	: 
A,ED0-2,Y16-29,T,PC,IT	87.0 u	89.4 	: 
A,ED0-2,Y16-29,T,PC,LT	98.3 u	93.9 	: 
A,ED0-2,Y16-29,T,PC,LU	88.5 u	90.2 	: 
A,ED0-2,Y16-29,T,PC,LV	90.3 	89.5 	: 
A,ED0-2,Y16-29,T,PC,MK	: u	92.6 	: 
A,ED0-2,Y16-29,T,PC,MT	92.7 u	92.9 	: 
A,ED0-2,Y16-29,T,PC,NL	95.8 	94.6 	: 
A,ED0-2,Y16-29,T,PC,NO	95.7 	97.5 	: 
A,ED0-2,Y16-29,T,PC,PL	95.8 u	98.8 u	: 
A,ED0-2,Y16-29,T,PC,PT	90.6 u	90.6 	: 
A,ED0-2,Y16-29,T,PC,RO	91.2 	96.3 	: 
A,ED0-2,Y16-29,T,PC,RS	87.3 u	94.6 	: 
A,ED0-2,Y16-29,T,PC,SE	97.1 	94.7 	: 
A,ED0-2,Y16-29,T,PC,SI	95.7 	98.1 	: 
A,ED0-2,Y16-29,T,PC,SK	96.6 	98.5 	: 
A,ED0-2,Y16-29,T,PC,UK	88.6 u	87.1 u	: 
A,ED0-2,Y25-34,F,PC,AT	91.0 	91.7 	97.9 u
A,ED0-2,Y25-34,F,PC,BE	74.3 	87.0 	87.3 
A,ED0-2,Y25-34,F,PC,BG	92.1 	89.3 	97.5 
A,ED0-2,Y25-34,F,PC,CH	90.7 u	85.9 	95.7 u
A,ED0-2,Y25-34,F,PC,CY	87.9 	89.7 	91.4 u
A,ED0-2,Y25-34,F,PC,CZ	91.7 u	92.3 u	88.9 
A,ED0-2,Y25-34,F,PC,DE	90.9 	91.7 	68.5 
A,ED0-2,Y25-34,F,PC,DK	: u	: u	84.5 u
A,ED0-2,Y25-34,F,PC,EE	98.2 	86.0 	86.1 u
A,ED0-2,Y25-34,F,PC,EL	69.7 	91.6 	72.1 u
A,ED0-2,Y25-34,F,PC,ES	94.4 	96.5 	88.8 
A,ED0-2,Y25-34,F,PC,EU27_2007	90.6 u	90.1 u	: 
A,ED0-2,Y25-34,F,PC,EU27_2020	90.4 u	90.6 e	77.6 u
A,ED0-2,Y25-34,F,PC,EU28	: u	90.1 u	: 
A,ED0-2,Y25-34,F,PC,FI	96.7 u	100.0 u	: u
A,ED0-2,Y25-34,F,PC,FR	90.9 u	91.8 	85.1 u
A,ED0-2,Y25-34,F,PC,HR	67.6 u	78.7 	: u
A,ED0-2,Y25-34,F,PC,HU	96.0 	95.4 	81.8 u
A,ED0-2,Y25-34,F,PC,IE	94.2 u	97.7 u	: u
A,ED0-2,Y25-34,F,PC,IS	95.7 	94.2 u	: 
A,ED0-2,Y25-34,F,PC,IT	81.3 u	81.2 	66.3 
A,ED0-2,Y25-34,F,PC,LT	100.0 u	78.1 u	84.2 u
A,ED0-2,Y25-34,F,PC,LU	69.6 u	81.2 	95.6 u
A,ED0-2,Y25-34,F,PC,LV	88.1 	94.2 	67.7 u
A,ED0-2,Y25-34,F,PC,ME	: 	: 	56.2 u
A,ED0-2,Y25-34,F,PC,MK	: u	88.1 	: 
A,ED0-2,Y25-34,F,PC,MT	93.9 u	92.0 	97.3 
A,ED0-2,Y25-34,F,PC,NL	95.4 	86.4 u	90.3 u
A,ED0-2,Y25-34,F,PC,NO	93.8 u	88.5 u	97.1 u
A,ED0-2,Y25-34,F,PC,PL	89.1 u	93.0 u	96.8 u
A,ED0-2,Y25-34,F,PC,PT	90.7 u	85.3 	95.1 u
A,ED0-2,Y25-34,F,PC,RO	94.7 	93.9 	71.5 
A,ED0-2,Y25-34,F,PC,RS	81.9 u	85.3 	70.2 
A,ED0-2,Y25-34,F,PC,SE	: u	96.7 u	92.2 u
A,ED0-2,Y25-34,F,PC,SI	87.5 u	100.0 u	: u
A,ED0-2,Y25-34,F,PC,SK	94.4 u	99.3 	68.5 u
A,ED0-2,Y25-34,F,PC,TR	: 	: 	84.5 
A,ED0-2,Y25-34,F,PC,UK	93.8 u	85.9 u	: 
A,ED0-2,Y25-34,M,PC,AT	93.9 	93.4 	74.8 u
A,ED0-2,Y25-34,M,PC,BE	84.7 	80.2 	88.6 
A,ED0-2,Y25-34,M,PC,BG	86.9 	94.4 	95.4 
A,ED0-2,Y25-34,M,PC,CH	80.8 u	88.2 u	84.9 u
A,ED0-2,Y25-34,M,PC,CY	86.4 	93.5 	91.3 u
A,ED0-2,Y25-34,M,PC,CZ	79.1 u	91.3 	97.7 u
A,ED0-2,Y25-34,M,PC,DE	81.2 	90.8 	72.2 
A,ED0-2,Y25-34,M,PC,DK	: u	89.8 u	91.0 u
A,ED0-2,Y25-34,M,PC,EE	93.8 	90.8 	88.4 
A,ED0-2,Y25-34,M,PC,EL	82.3 	94.2 	76.3 
A,ED0-2,Y25-34,M,PC,ES	96.5 	95.9 	88.3 
