A,GE1,ED0-2,TOTAL,T,PC,ES	: 	: 	44.6 
A,GE1,ED0-2,TOTAL,T,PC,FI	: 	: 	52.8 
A,GE1,ED0-2,TOTAL,T,PC,FR	: 	: 	37.4 
A,GE1,ED0-2,TOTAL,T,PC,HR	: 	: 	21.1 
A,GE1,ED0-2,TOTAL,T,PC,HU	: 	: 	23.1 
A,GE1,ED0-2,TOTAL,T,PC,IE	: 	: 	47.0 
A,GE1,ED0-2,TOTAL,T,PC,IT	: 	: 	23.4 
A,GE1,ED0-2,TOTAL,T,PC,LT	: 	: 	33.1 
A,GE1,ED0-2,TOTAL,T,PC,LU	: 	: 	63.3 
A,GE1,ED0-2,TOTAL,T,PC,LV	: 	: 	28.6 
A,GE1,ED0-2,TOTAL,T,PC,ME	: 	: 	17.5 
A,GE1,ED0-2,TOTAL,T,PC,MT	: 	: 	25.9 
A,GE1,ED0-2,TOTAL,T,PC,NL	: 	: 	58.2 
A,GE1,ED0-2,TOTAL,T,PC,NO	: 	: 	65.9 
A,GE1,ED0-2,TOTAL,T,PC,PL	: 	: 	35.3 
A,GE1,ED0-2,TOTAL,T,PC,PT	: 	: 	36.0 
A,GE1,ED0-2,TOTAL,T,PC,RO	: 	: 	9.8 
A,GE1,ED0-2,TOTAL,T,PC,RS	: 	: 	17.1 
A,GE1,ED0-2,TOTAL,T,PC,SE	: 	: 	54.8 
A,GE1,ED0-2,TOTAL,T,PC,SI	: 	: 	37.9 
A,GE1,ED0-2,TOTAL,T,PC,SK	: 	: 	31.1 
A,GE1,ED0-2,TOTAL,T,PC,TR	: 	: 	9.4 
A,GE1,ED0-2,Y16-24,F,PC,AT	82.4 	86.7 	80.4 
A,GE1,ED0-2,Y16-24,F,PC,BE	85.9 	83.4 	75.8 
A,GE1,ED0-2,Y16-24,F,PC,BG	49.6 	41.4 	30.2 
A,GE1,ED0-2,Y16-24,F,PC,CH	: 	98.0 	94.8 
A,GE1,ED0-2,Y16-24,F,PC,CY	88.2 	83.6 	60.2 
A,GE1,ED0-2,Y16-24,F,PC,CZ	90.1 	89.3 	89.4 
A,GE1,ED0-2,Y16-24,F,PC,DE	95.5 	94.5 	: u
A,GE1,ED0-2,Y16-24,F,PC,DK	91.6 	96.5 	86.9 
A,GE1,ED0-2,Y16-24,F,PC,EE	90.4 	91.4 	85.0 
